"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Arabidopsis_H0-AT"	"Chr1"	"14730000"	"17055000"
"MinRepeatAbund"	"Arabidopsis_H0-AT"	"Chr2"	" 4765000"	" 6405000"
"MinRepeatAbund"	"Arabidopsis_H0-AT"	"Chr3"	"13825000"	"15835000"
"MinRepeatAbund"	"Arabidopsis_H0-AT"	"Chr4"	" 5400000"	" 6765000"
"MinRepeatAbund"	"Arabidopsis_H0-AT"	"Chr5"	"12165000"	"14645000"
"Shannon"	"Arabidopsis_H0-AT"	"Chr1"	"14730000"	"17120000"
"Shannon"	"Arabidopsis_H0-AT"	"Chr2"	" 4690000"	" 6455000"
"Shannon"	"Arabidopsis_H0-AT"	"Chr3"	"13925000"	"16060000"
"Shannon"	"Arabidopsis_H0-AT"	"Chr4"	" 5460000"	" 6745000"
"Shannon"	"Arabidopsis_H0-AT"	"Chr5"	"11905000"	"14580000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr1"	"19210000"	"20995000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr2"	"19835000"	"21850000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr2"	"23985000"	"24255000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr3"	"33935000"	"37805000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr5"	"28615000"	"30660000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr6"	"17050000"	"17570000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr6"	"18465000"	"18500000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr6"	"18570000"	"19335000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr6"	"19490000"	"19540000"
"MinRepeatAbund"	"Brassica_H0-AT"	"Chr9"	"45730000"	"49330000"
"Shannon"	"Brassica_H0-AT"	"Chr1"	"19080000"	"20025000"
"Shannon"	"Brassica_H0-AT"	"Chr1"	"20165000"	"20680000"
